method,mechanism,dataset,missing_rate,n_imputations,param,mean_bias,mean_perc_bias,mean_cov_rate,mean_ci_width,mean_fmi,mean_runtime,total_reps
CART,MCAR,large,0.5,20,x3,0.040978181603577205,20.489090801788624,0.996,0.30424772764324715,0.4312078514491659,0.6472180032730103,500.0
CART,MCAR,large,0.5,20,z,-0.09607555656682075,-38.43022262672832,0.975,0.4057178750682428,0.42433484020460055,0.6472180032730103,500.0
CART,MCAR,medium,0.2,10,I(x1 * x2),-0.0719886749925559,-11.998112498759326,0.792,0.19015731203874725,0.25021343955495634,0.2972884881496429,500.0
CART,MCAR,medium,0.2,10,I(x2 ** 2),0.03153636185388,12.614544741552017,0.965,0.1641131336468986,0.2508626240395681,0.2972884881496429,500.0
CART,MCAR,medium,0.2,10,I(x3 * z),0.00409082220792195,2.7272148052813385,1.0,0.2849267344082653,0.20900790744695025,0.2972884881496429,500.0
CART,MCAR,medium,0.2,10,x1,-0.05877192953193945,-19.59064317731316,0.899,0.17592226203866673,0.2154059605836339,0.2972884881496429,500.0
CART,MCAR,medium,0.2,10,x2,-0.0193107763881711,-6.436925462723718,1.0,0.18674218307826423,0.22440583802498254,0.2972884881496429,500.0
CART,MCAR,medium,0.2,10,x3,0.04021518158093,20.10759079046501,0.995,0.2123263495238123,0.202133935178091,0.2972884881496429,500.0
CART,MCAR,medium,0.2,10,z,-0.0224598592338149,-8.983943693525969,1.0,0.2856219080575071,0.20497103306434833,0.2972884881496429,500.0
CART,MCAR,medium,0.2,20,I(x1 * x2),-0.07191673004279955,-11.986121673799932,0.8029999999999999,0.1896251960169673,0.2499110291662792,0.5792288868427277,500.0
CART,MCAR,medium,0.2,20,I(x2 ** 2),0.0316825863324182,12.67303453296729,0.966,0.1632971456560382,0.2473247359052247,0.5792288868427277,500.0
CART,MCAR,medium,0.2,20,I(x3 * z),0.0034911820079869,2.327454671991301,1.0,0.28364382457089277,0.20509609343665974,0.5792288868427277,500.0
CART,MCAR,medium,0.2,20,x1,-0.0583704723567413,-19.456824118913794,0.896,0.1751620075369174,0.21199610118536835,0.5792288868427277,500.0
CART,MCAR,medium,0.2,20,x2,-0.01960394799580675,-6.534649331935604,1.0,0.18574964170573866,0.2197380525438391,0.5792288868427277,500.0
CART,MCAR,medium,0.2,20,x3,0.0405194336035193,20.259716801759662,0.998,0.2119226659767435,0.20192013423033534,0.5792288868427277,500.0
